Datum,Merkel,Gabriel,Seehofer,Schulz,Schäuble,Özdemir,Lindner
25.11.16,1.8,0.7,0.6,,1.7,0.9
09.12.16,1.5,0.7,0.3,,1.6,0.9
13.01.17,1.8,0.7,0.6,,1.7,0.8
27.01.17,1.8,0.7,0.5,2,1.7
17.02.17,1.7,0.9,0.4,2,1.7
10.03.17,1.8,1,0.5,1.7,1.6
07.04.17,1.9,0.9,0.5,1.3,1.9,0.8
28.04.17,1.8,1.2,0.4,1.2,1.8,0.9
19.05.17,2.2,1,0.5,0.6,1.9,0.5
02.06.17,2.2,1,0.6,0.8,1.9,0.9,1.1
23.06.17,2.1,0.9,0.5,0.8,1.7,0.6,1
07.07.17,2.3,1.3,0.6,0.7,1.7,0.7,1.1
21.07.17,2.2,1,0.5,0.8,1.7,0.8,1.1
11.08.17,1.8,1,0.5,0.6,1.6,0.7,0.8
25.08.17,1.7,1.4,0.5,0.7,1.7,0.6,0.9
01.09.17,2.1,1.4,0.6,0.7,1.9,0.8,0.9
08.09.17,2,1.5,0.6,1.1,1.7,1,0.9
