1	1	Moana	BV	$18,533,804	-34.4%	3,875	-	$4,783	$144,700,397	-	3
2	N	Office Christmas Party	Par.	$16,890,204	-	3,210	-	$5,262	$16,890,204	$45	1
3	2	Fantastic Beasts and Where To Find Them	WB	$10,421,251	-42.5%	3,626	-362	$2,874	$198,947,154	$180	4
4	3	Arrival	Par.	$5,587,109	-23.1%	3,115	+200	$1,794	$81,438,817	$47	5
5	5	Doctor Strange	BV	$4,535,827	-32.1%	2,763	-172	$1,642	$222,267,273	$165	6
6	4	Allied	Par.	$3,955,705	-43.7%	3,018	-142	$1,311	$35,589,157	$85	3
7	11	Manchester by the Sea	RAtt.	$3,172,924	+39.7%	366	+210	$8,669	$8,343,125	$9	4
8	16	Nocturnal Animals	Focus	$3,161,381	+351.5%	1,262	+1,135	$2,505	$6,187,509	-	4
9	6	Trolls	Fox	$3,020,165	-35.6%	2,786	-370	$1,084	$145,400,169	$125	6
10	7	Hacksaw Ridge	LGF	$2,288,401	-31.5%	2,277	-217	$1,005	$60,850,849	$40	6
11	41	Miss Sloane	EC	$1,844,972	+4,013.4%	1,648	+1,644	$1,120	$1,983,337	-	3
12	10	Almost Christmas	Uni.	$1,377,095	-45.6%	1,258	-298	$1,095	$40,213,580	$17	5
13	8	Bad Santa 2	BG	$1,236,113	-62.4%	2,034	-911	$608	$16,800,882	$26	3
14	9	Incarnate	BH Tilt	$1,078,173	-57.5%	1,737	-	$621	$4,220,311	$5	2
15	N	La La Land	LG/S	$881,104	-	5	-	$176,221	$881,104	$30	1
16	13	Loving	Focus	$633,993	-34.6%	572	+126	$1,108	$6,576,255	-	6
17	12	The Edge of Seventeen	STX	$616,919	-61.6%	932	-676	$662	$13,876,616	$9	4
18	14	Moonlight (2016)	A24	$543,585	-35.7%	449	-125	$1,211	$10,758,336	$4	8
19	N	Befikre	Yash	$498,000	-	284	-	$1,754	$498,000	-	1
20	22	Jackie	FoxS	$492,255	+76.6%	26	+21	$18,933	$857,080	-	2
21	15	The Accountant	WB	$440,038	-41.2%	455	-153	$967	$84,982,209	$44	9
22	N	The Bounce Back	VPD	$227,354	-	615	-	$370	$227,354	-	1
23	23	Jack Reacher: Never Go Back	Par.	$206,164	-10.7%	290	-8	$711	$58,071,681	$60	8
24	24	The Eagle Huntress	SPC	$200,359	-2.2%	122	+41	$1,642	$1,478,318	-	6
25	25	Storks	WB	$184,035	-9.8%	267	+5	$689	$71,696,231	$70	12
26	30	Lion	Wein.	$168,358	+44.4%	15	+8	$11,224	$490,548	$12	3
