1	N	Spider-Man: Homecoming	Sony	$117,027,503	-	4,348	-	$26,915	$117,027,503	$175	1
2	1	Despicable Me 3	Uni.	$33,580,425	-53.6%	4,535	+6	$7,405	$148,771,085	$80	2
3	2	Baby Driver	TriS	$13,002,721	-36.7%	3,226	-	$4,031	$57,135,793	$34	2
4	4	Wonder Woman	WB	$9,822,105	-37.5%	3,091	-313	$3,178	$368,473,296	$149	6
5	3	Transformers: The Last Knight	Par.	$6,376,578	-62.2%	3,241	-891	$1,967	$118,993,338	$217	3
6	5	Cars 3	BV	$5,382,248	-44.5%	2,702	-874	$1,992	$133,479,660	-	4
7	6	The House	WB (NL)	$4,778,272	-45.2%	3,134	-	$1,525	$18,593,950	$40	2
8	12	The Big Sick	LGF	$3,576,646	+116.5%	326	+255	$10,971	$6,846,969	-	3
9	7	47 Meters Down	ENTMP	$2,714,172	-39.9%	1,741	-509	$1,559	$38,408,818	$5.5	4
10	8	The Beguiled (2017)	Focus	$2,062,675	-34.8%	941	+267	$2,192	$7,412,009	-	3
11	10	Pirates of the Caribbean: Dead Men Tell No Tales	BV	$1,187,170	-53.0%	1,039	-635	$1,143	$168,812,467	$230	7
12	9	The Mummy (2017)	Uni.	$1,185,925	-60.6%	1,045	-715	$1,135	$77,996,195	$125	5
13	13	Guardians of the Galaxy Vol. 2	BV	$860,020	-44.1%	660	-306	$1,303	$385,560,026	$200	10
14	11	All Eyez on Me	LG/S	$606,390	-66.8%	599	-659	$1,012	$44,316,429	$40	4
15	17	The Hero	Orch.	$586,626	-30.1%	447	+46	$1,312	$2,745,621	-	5
16	16	Beatriz At Dinner	RAtt.	$520,126	-50.8%	417	-266	$1,247	$5,981,465	-	5
17	15	Captain Underpants: The First Epic Movie	Fox	$332,106	-70.2%	407	-1,045	$816	$70,535,646	$38	6
18	14	Rough Night	Sony	$288,215	-77.4%	351	-1,306	$821	$21,521,417	$20	4
19	18	Megan Leavey	BST	$237,659	-50.9%	254	-179	$936	$12,465,780	-	5
20	33	The Little Hours	G&S	$193,258	+241.0%	37	+35	$5,223	$281,531	-	2
21	22	The Boss Baby	Fox	$191,128	-13.4%	195	-20	$980	$173,913,074	-	15
22	21	Baywatch	Par.	$184,703	-25.6%	193	-3	$957	$57,603,797	$69	7
23	27	Maudie	SPC	$184,188	+79.3%	67	+44	$2,749	$3,197,002	-	10
24	20	Paris Can Wait	SPC	$150,687	-42.8%	131	-83	$1,150	$5,057,072	-	9
25	24	The Fate of the Furious	Uni.	$110,060	-31.1%	115	-29	$957	$225,697,400	$250	13
26	N	A Ghost Story	A24	$104,030	-	4	-	$26,008	$104,030	$0.1	1
27	39	Everything, Everything	WB	$100,353	+148.9%	141	+53	$712	$33,852,416	$10	8
28	19	The Book of Henry	Focus	$97,617	-63.9%	154	-209	$634	$4,219,536	-	4
29	26	King Arthur: Legend of the Sword	WB	$90,011	-25.1%	155	-17	$581	$39,037,047	$175	9
30	23	Alien: Covenant	Fox	$85,793	-50.2%	132	-81	$650	$73,842,907	$97	8
31	28	The Exception	A24	$64,800	-27.9%	48	-	$1,350	$513,862	-	6
32	25	It Comes At Night	A24	$61,835	-59.0%	90	-84	$687	$13,708,884	-	5
33	36	A Beautiful Planet	Imax	$57,850	+14.8%	16	-1	$3,616	$11,268,001	-	63
34	32	The Women's Balcony	Men.	$52,133	-21.3%	24	-4	$2,172	$850,039	-	19
35	N	Our Time Will Come	CL	$50,619	-	18	-	$2,812	$50,619	-	1
36	29	Beauty and the Beast (2017)	BV	$49,452	-36.2%	110	-46	$450	$503,974,884	$160	17
37	31	Diary of a Wimpy Kid: The Long Haul	Fox	$34,826	-48.9%	91	-44	$383	$20,576,565	$22	8
38	37	Smurfs: The Lost Village	Sony	$33,374	-29.8%	70	-33	$477	$44,894,228	$60	14
39	38	Gifted	FoxS	$29,349	-29.1%	43	-13	$683	$24,661,993	$7	14
40	30	Snatched	Fox	$28,678	-61.9%	64	-79	$448	$45,795,614	$42	9
41	-	Lost in Paris	Osci.	$27,162	-	8	-	$3,395	$44,828	-	4
42	40	Going in Style (2017)	WB (NL)	$25,160	-32.8%	53	-24	$475	$45,003,463	$25	14
43	45	Letters from Baghdad	Vita.	$22,721	-7.2%	17	-3	$1,337	$221,780	-	6
44	34	My Cousin Rachel	FoxS	$21,654	-60.8%	37	-24	$585	$2,650,280	-	5
45	43	The Lost City of Z	BST	$18,216	-31.6%	38	-12	$479	$8,554,554	-	13
46	57	The Journey	IFC	$16,373	+119.0%	21	+5	$780	$89,939	-	4
47	51	13 Minutes	SPC	$15,806	+34.5%	9	+6	$1,756	$36,006	-	2
48	41	Churchill	Cohen	$14,920	-49.8%	18	-8	$829	$1,220,078	-	6
49	46	Marie Curie: The Courage of Knowledge	Society	$13,798	-25.8%	4	-2	$3,450	$49,871	-	2
50	N	City of Ghosts	IFC	$13,601	-	2	-	$6,801	$13,601	-	1
51	50	The B-Side: Elsa Dorfman's Portrait Photography	Neon	$12,360	+2.7%	8	+5	$1,545	$39,893	-	2
52	48	Moka	FM	$11,887	-19.1%	14	+11	$849	$72,644	-	4
53	35	Reset (Ni Shi Ying Jiu)	WGUSA	$10,142	-81.3%	7	-13	$1,449	$98,574	-	2
54	53	Norman: The Moderate Rise and Tragic Fall of a New York Fixer	SPC	$10,129	+13.0%	30	-3	$338	$3,798,509	-	13
55	66	Stalker (2017 re-release)	Jan.	$9,978	+91.5%	4	+1	$2,495	$226,744	-	10
56	N	The Last Dalai Lama?	Mats.	$9,786	-	4	-	$2,447	$9,786	-	1
57	55	The Wedding Plan	RAtt.	$9,737	+19.2%	12	-6	$811	$1,391,087	-	9
58	54	Journey to the South Pacific	Imax	$9,709	+17.2%	1	-	$9,709	$7,354,607	-	189
59	44	The Bad Batch	Neon	$9,534	-62.4%	25	-21	$381	$169,744	-	3
60	75	Pop Aye	KL	$8,276	+130.0%	3	+2	$2,759	$23,070	-	2
61	59	The Ornithologist	Strand	$7,525	+2.2%	6	+1	$1,254	$31,961	-	3
62	68	My Journey Through French Cinema	Cohen	$6,693	+34.4%	4	+2	$1,673	$36,623	-	3
63	58	Love, Kennedy	Purd.	$6,590	-11.1%	6	-1	$1,098	$244,365	-	6
64	49	Band Aid	IFC	$6,522	-53.7%	14	-9	$466	$231,616	-	6
65	74	Hidden Figures	Fox	$6,436	+73.0%	18	-3	$358	$169,359,677	$25	29
66	-	Kedi	Osci.	$5,798	-	7	-	$828	$2,776,750	-	22
