1	1	Beauty and the Beast (2017)	BV	$90,426,717	-48.3%	4,210	-	$21,479	$319,032,604	$160	2
2	N	Power Rangers (2017)	LGF	$40,300,288	-	3,693	-	$10,913	$40,300,288	$100	1
3	2	Kong: Skull Island	WB	$14,670,653	-47.3%	3,666	-180	$4,002	$133,747,891	$185	3
4	N	Life (2017)	Sony	$12,501,936	-	3,146	-	$3,974	$12,501,936	$58	1
5	3	Logan	Fox	$10,334,390	-42.0%	3,163	-524	$3,267	$201,644,986	$97	4
6	4	Get Out	Uni.	$8,851,845	-34.1%	2,474	-505	$3,578	$147,669,880	$4.5	5
7	N	CHiPs	WB	$7,722,802	-	2,464	-	$3,134	$7,722,802	$25	1
8	5	The Shack	LG/S	$3,859,551	-35.7%	2,330	-495	$1,656	$49,146,595	-	4
9	6	The LEGO Batman Movie	WB	$2,100,951	-54.3%	1,638	-1,097	$1,283	$170,972,203	$80	7
10	7	The Belko Experiment	BH Tilt	$1,878,370	-54.6%	1,341	-	$1,401	$7,648,935	$5	2
11	N	Slamma Jamma	RivR	$1,687,000	-	502	-	$3,361	$1,687,000	-	1
12	8	Hidden Figures	Fox	$753,140	-48.9%	640	-522	$1,177	$167,015,012	$25	14
13	27	The Last Word	BST	$535,939	+171.0%	380	+286	$1,410	$988,663	-	4
14	9	John Wick: Chapter Two	LG/S	$457,414	-61.4%	403	-662	$1,135	$90,851,421	-	7
15	14	Rogue One: A Star Wars Story	BV	$446,992	-11.1%	267	+88	$1,674	$531,314,491	$200	15
16	36	Passengers (2016)	Sony	$397,472	+581.4%	506	+416	$786	$99,886,692	$110	14
17	11	Lion	Wein.	$394,481	-46.3%	320	-301	$1,233	$50,736,321	$12	18
18	29	T2: Trainspotting	TriS	$389,535	+128.4%	59	+54	$6,602	$622,809	$18	2
19	N	Wilson	FoxS	$336,227	-	310	-	$1,085	$336,227	-	1
20	15	The Sense of an Ending	CBS	$276,816	-42.4%	235	-47	$1,178	$1,031,040	-	3
21	N	Phillauri	FIP	$260,982	-	74	-	$3,527	$260,982	-	1
22	16	A Dog's Purpose	Uni.	$258,310	-45.9%	299	-295	$864	$63,397,540	$22	9
23	30	Personal Shopper	IFC	$214,655	+40.8%	107	+72	$2,006	$543,400	-	3
24	21	Sing	Uni.	$209,575	-34.8%	228	-50	$919	$269,687,885	$75	14
25	20	Moana	BV	$208,770	-39.1%	212	-52	$985	$248,368,125	-	18
26	24	Kedi	Osci.	$207,513	-27.7%	107	-23	$1,939	$1,762,138	-	7
27	10	Before I Fall	ORF	$198,518	-79.9%	351	-1,200	$566	$11,906,308	-	4
28	12	La La Land	LG/S	$195,343	-63.3%	212	-373	$921	$150,229,030	$30	16
29	13	Split	Uni.	$189,475	-62.5%	262	-342	$723	$137,255,265	$9	10
30	22	A United Kingdom	FoxS	$187,253	-38.4%	159	-98	$1,178	$3,521,425	-	7
31	19	Badrinath Ki Dulhania	FIP	$139,808	-66.6%	93	-63	$1,503	$1,888,366	-	3
32	38	Song to Song	BG	$136,747	+170.5%	80	+76	$1,709	$208,322	-	2
33	18	Fifty Shades Darker	Uni.	$131,960	-70.9%	189	-418	$698	$114,376,885	$55	7
34	28	I am Not Your Negro	Magn.	$117,504	-31.9%	80	-30	$1,469	$6,640,337	-	8
35	17	Fist Fight	WB (NL)	$95,560	-79.2%	153	-380	$625	$31,857,410	-	6
36	23	The Great Wall	Uni.	$95,135	-68.3%	158	-281	$602	$45,009,415	$150	6
37	39	Raw (2017)	FCW	$77,030	+58.9%	27	+18	$2,853	$190,051	-	3
