1	N	It	WB (NL)	$123,403,419	-	4,103	-	$30,076	$123,403,419	$35	1
2	N	Home Again	ORF	$8,567,881	-	2,940	-	$2,914	$8,567,881	$12	1
3	1	The Hitman's Bodyguard	LG/S	$4,801,745	-54.4%	3,322	-48	$1,445	$64,848,752	$30	4
4	2	Annabelle: Creation	WB (NL)	$4,003,115	-46.7%	3,003	-355	$1,333	$96,270,125	$15	5
5	3	Wind River	Wein.	$3,132,362	-49.8%	2,890	+288	$1,084	$24,924,354	$11	6
6	4	Leap!	Wein.	$2,443,405	-49.6%	2,691	-14	$908	$15,817,841	-	3
7	7	Spider-Man: Homecoming	Sony	$2,006,749	-45.5%	1,657	-379	$1,211	$327,694,543	$175	10
8	6	Dunkirk	WB	$1,861,601	-57.4%	2,110	-642	$882	$183,021,880	$100	8
9	5	Logan Lucky	BST	$1,669,875	-62.1%	2,167	-808	$771	$25,072,116	$29	4
10	9	The Emoji Movie	Sony	$1,138,516	-53.8%	1,450	-658	$785	$82,595,374	$50	7
11	8	Despicable Me 3	Uni.	$933,240	-62.7%	1,274	-858	$733	$259,981,415	$80	11
12	10	Girls Trip	Uni.	$819,855	-64.4%	1,123	-484	$730	$113,378,325	$19	8
13	17	The Dark Tower	Sony	$757,159	-53.0%	948	-872	$799	$48,910,620	$60	6
14	12	Wonder Woman	WB	$660,442	-67.6%	961	-877	$687	$410,501,584	$149	15
15	11	The Nut Job 2: Nutty by Nature	ORF	$576,818	-72.7%	1,235	-1,416	$467	$27,468,712	$40	5
16	21	The Glass Castle	LGF	$533,828	-62.1%	1,037	-323	$515	$16,078,713	-	5
17	22	All Saints	Sony	$465,035	-61.9%	834	-12	$558	$4,604,312	$2	3
18	25	War for the Planet of the Apes	Fox	$450,821	-59.4%	653	-388	$690	$145,329,526	$150	9
19	20	The Big Sick	LGF	$441,878	-69.2%	535	-735	$826	$41,990,772	-	12
20	19	Baby Driver	TriS	$422,548	-71.4%	618	-845	$684	$106,564,826	$34	11
21	23	Hazlo Como Hombre (Do It Like An Hombre)	PNT	$388,910	-66.9%	382	-	$1,018	$2,035,761	-	2
22	15	Birth of the Dragon	BH Tilt	$345,065	-80.2%	702	-931	$492	$6,570,550	-	3
23	14	Close Encounters Of The Third Kind (40th Anniversary)	Sony	$309,268	-82.5%	787	-114	$393	$2,890,338	-	2
24	13	Cars 3	BV	$298,795	-83.1%	510	-1,935	$586	$152,042,304	-	13
25	26	Atomic Blonde	Focus	$290,200	-67.0%	390	-351	$744	$51,041,470	$30	7
26	24	Tulip Fever	Wein.	$287,717	-75.2%	772	+7	$373	$1,937,937	-	2
27	16	Kidnap (2017)	Aviron	$210,411	-87.1%	918	-771	$229	$30,211,526	$21	6
28	N	9/11	ADC	$170,000	-	425	-	$400	$170,000	-	1
29	27	Ingrid Goes West	Neon	$148,723	-75.4%	200	-425	$744	$2,751,823	-	5
30	29	Shubh Mangal Saavdhan	Eros	$128,422	-50.6%	80	-	$1,605	$511,875	-	2
31	53	Viceroy's House	IFC	$125,683	+161.1%	41	+37	$3,065	$197,697	-	2
32	33	The Trip to Spain	IFC	$111,664	-48.9%	132	-8	$846	$762,005	-	5
33	30	Valerian and the City of a Thousand Planets	STX	$106,947	-57.3%	229	-51	$467	$40,309,952	$177.2	8
34	36	Menashe	A24	$97,225	-51.0%	117	-9	$831	$1,441,310	-	7
35	37	Pirates of the Caribbean: Dead Men Tell No Tales	BV	$94,051	-51.6%	143	-43	$658	$172,447,788	$230	16
36	43	Columbus	INDEP	$76,254	-31.6%	36	+7	$2,118	$512,109	-	6
37	69	It Comes At Night	A24	$75,591	+458.9%	17	+7	$4,447	$13,973,988	-	14
38	54	Beach Rats	Neon	$73,064	+66.4%	34	+26	$2,149	$208,919	-	3
39	32	47 Meters Down	ENTMP	$67,034	-70.0%	149	-281	$450	$44,167,541	$5.5	13
40	31	Patti Cake$	FoxS	$66,970	-72.9%	189	-106	$354	$721,466	-	4
41	41	Captain Underpants: The First Epic Movie	Fox	$55,792	-57.1%	103	-41	$542	$73,754,420	$38	15
42	34	Guardians of the Galaxy Vol. 2	BV	$53,202	-75.5%	129	-67	$412	$389,760,116	$200	19
43	35	Detroit	Annapurna	$52,566	-74.1%	151	-180	$348	$16,693,193	$34	7
44	N	Poster Boys	Sony	$51,289	-	50	-	$1,026	$51,289	-	1
45	28	Good Time	A24	$50,671	-83.9%	75	-560	$676	$1,862,111	-	5
46	68	Dolores	PBS	$48,646	+259.4%	5	+4	$9,729	$65,936	-	2
47	42	A Taxi Driver	WGUSA	$42,546	-61.9%	21	-10	$2,026	$1,451,460	-	5
48	46	Maudie	SPC	$42,136	-48.7%	79	-27	$533	$6,016,063	-	22
49	52	Wish Upon	BG	$40,671	-20.6%	55	-11	$739	$14,240,413	$12	9
50	N	Rebel in the Rye	IFC	$37,967	-	4	-	$9,492	$37,967	-	1
51	49	Crown Heights	IFC	$30,047	-51.9%	91	+36	$330	$206,561	-	4
52	N	Memoir of a Murder	WGUSA	$27,665	-	8	-	$3,458	$27,665	-	1
53	58	California Typewriter	Grav.	$22,324	-25.9%	16	+5	$1,395	$93,600	-	4
54	N	Twenty Two	CL	$22,222	-	11	-	$2,020	$22,222	-	1
55	63	Polina	Osci.	$21,149	+1.5%	15	+11	$1,410	$73,812	-	3
56	61	Marjorie Prime	FR	$19,558	-26.3%	12	-	$1,630	$125,172	-	4
57	55	Gook	Gold.	$19,354	-55.7%	20	-7	$968	$222,191	-	4
58	64	Rumble: The Indians Who Rocked The World	KL	$17,404	-15.5%	22	+6	$791	$153,831	-	17
59	56	Step (2017)	FoxS	$15,910	-63.1%	24	-18	$663	$1,097,026	-	6
60	59	Lost in Paris	Osci.	$15,765	-43.8%	17	-2	$927	$610,343	-	13
