1	1	Split	Uni.	$25,655,440	-35.9%	3,199	+161	$8,020	$77,385,530	$9	2
2	N	A Dog's Purpose	Uni.	$18,222,810	-	3,059	-	$5,957	$18,222,810	$22	1
3	3	Hidden Figures	Fox	$14,003,275	-10.9%	3,351	-65	$4,179	$104,024,969	$25	6
4	N	Resident Evil: The Final Chapter	SGem	$13,601,682	-	3,104	-	$4,382	$13,601,682	$40	1
5	5	La La Land	LG/S	$12,233,928	+45.2%	3,136	+1,271	$3,901	$106,693,300	$30	8
6	2	xXx: The Return of Xander Cage	Par.	$8,601,858	-57.3%	3,651	-	$2,356	$33,839,608	$85	2
7	4	Sing	Uni.	$6,408,210	-28.8%	2,702	-491	$2,372	$257,599,585	$75	6
8	6	Rogue One: A Star Wars Story	BV	$5,274,513	-26.8%	2,049	-554	$2,574	$520,200,086	$200	7
9	7	Monster Trucks	Par.	$4,177,101	-40.9%	2,496	-623	$1,674	$28,212,248	-	3
10	N	Gold	Wein.	$3,471,316	-	2,166	-	$1,603	$3,471,316	-	1
11	8	Patriots Day	LGF	$2,774,772	-51.8%	1,847	-1,273	$1,502	$28,306,013	$45	6
12	11	The Founder	Wein.	$2,606,832	-23.4%	1,115	-	$2,338	$7,433,899	-	2
13	12	Moana	BV	$2,479,845	-8.0%	1,894	+598	$1,309	$240,170,441	-	10
14	14	Lion	Wein.	$2,348,719	+33.0%	575	-	$4,085	$19,718,591	$12	10
15	22	Manchester by the Sea	RAtt.	$2,071,096	+118.3%	1,168	+625	$1,773	$41,585,235	$9	11
16	N	Raees	Zee	$1,798,379	-	265	-	$6,786	$2,369,469	-	1
17	9	Sleepless	ORF	$1,750,083	-49.3%	1,055	-748	$1,659	$17,813,578	-	3
18	23	Moonlight (2016)	A24	$1,489,470	+150.8%	1,104	+615	$1,349	$17,714,851	$4	15
19	28	Arrival	Par.	$1,473,440	+358.4%	1,221	+1,041	$1,207	$97,328,639	$47	12
20	18	Fences	Par.	$1,443,074	+18.8%	880	+187	$1,640	$50,822,683	$24	7
21	10	The Bye Bye Man	STX	$1,125,890	-67.2%	1,127	-1,093	$999	$21,824,540	$7.4	3
22	N	Un Padre No Tan Padre	PNT	$978,894	-	312	-	$3,137	$978,894	-	1
23	13	Passengers (2016)	Sony	$912,226	-59.4%	625	-931	$1,460	$96,203,443	$110	6
24	17	20th Century Women	A24	$908,698	-34.4%	650	-	$1,398	$3,937,202	-	5
25	25	Jackie	FoxS	$666,634	+75.7%	508	+269	$1,312	$12,185,482	-	9
26	N	Yu-Gi-Oh! The Dark Side of Dimensions	SV	$656,756	-	381	-	$1,724	$656,756	-	1
27	20	Silence (2016)	Par.	$614,127	-47.3%	316	-1,264	$1,943	$6,408,505	-	6
28	15	Underworld: Blood Wars	SGem	$470,276	-73.0%	433	-1,033	$1,086	$29,756,071	$35	4
