1	N	Transformers: The Last Knight	Par.	$44,680,073	-	4,069	-	$10,981	$68,475,562	$217	1
2	2	Wonder Woman	WB	$24,906,310	-39.6%	3,933	-85	$6,333	$318,111,468	$149	4
3	1	Cars 3	BV	$24,074,497	-55.2%	4,256	-	$5,657	$98,782,390	-	2
4	5	47 Meters Down	ENTMP	$7,088,262	-36.7%	2,471	+201	$2,869	$23,914,194	$5.5	2
5	4	The Mummy (2017)	Uni.	$6,060,495	-58.2%	2,980	-1,054	$2,034	$68,744,165	$125	3
6	3	All Eyez on Me	LG/S	$5,806,975	-78.0%	2,471	-	$2,350	$38,599,294	$40	2
7	6	Pirates of the Caribbean: Dead Men Tell No Tales	BV	$5,396,243	-39.8%	2,453	-306	$2,200	$160,161,569	$230	5
8	7	Rough Night	Sony	$4,703,261	-41.2%	3,162	-	$1,487	$16,638,208	$20	2
9	8	Captain Underpants: The First Epic Movie	Fox	$4,284,115	-40.3%	2,328	-640	$1,840	$65,747,291	$38	4
10	9	Guardians of the Galaxy Vol. 2	BV	$3,023,042	-40.4%	1,468	-345	$2,059	$380,236,369	$200	8
11	15	Beatriz At Dinner	RAtt.	$1,759,977	+150.7%	491	+414	$3,584	$2,953,757	-	3
12	11	Megan Leavey	BST	$1,215,754	-52.2%	971	-861	$1,252	$10,739,927	-	3
13	13	The Book of Henry	Focus	$948,369	-33.4%	650	+71	$1,459	$3,105,724	-	2
14	N	Tubelight	Yash	$930,058	-	338	-	$2,752	$930,058	-	1
15	10	It Comes At Night	A24	$800,324	-69.2%	819	-1,631	$977	$13,043,493	-	3
16	12	Baywatch	Par.	$748,404	-53.5%	480	-827	$1,559	$56,656,293	$69	5
17	14	Paris Can Wait	SPC	$572,743	-19.8%	408	-39	$1,404	$4,153,090	-	7
18	N	The Big Sick	LGF	$421,577	-	5	-	$84,315	$421,577	-	1
19	16	Alien: Covenant	Fox	$341,308	-39.9%	294	-106	$1,161	$73,334,769	$97	6
20	20	The Boss Baby	Fox	$330,791	+2.3%	241	-19	$1,373	$173,080,163	-	13
21	23	The Hero	Orch.	$297,927	+118.1%	81	+54	$3,678	$555,891	-	3
22	N	The Beguiled (2017)	Focus	$229,292	-	4	-	$57,323	$229,292	-	1
23	17	My Cousin Rachel	FoxS	$197,925	-62.7%	163	-368	$1,214	$2,428,600	-	3
24	18	Everything, Everything	WB	$153,466	-60.5%	177	-226	$867	$33,580,802	$10	6
25	21	Beauty and the Beast (2017)	BV	$148,633	-46.1%	191	-51	$778	$503,685,062	$160	15
26	22	The Fate of the Furious	Uni.	$144,975	-30.6%	159	-30	$912	$225,197,855	$250	11
27	38	The Exception	A24	$128,097	+193.1%	48	+34	$2,669	$240,431	-	4
28	24	Snatched	Fox	$111,209	-12.2%	173	-38	$643	$45,588,142	$42	7
29	19	Diary of a Wimpy Kid: The Long Haul	Fox	$105,737	-68.0%	160	-95	$661	$20,324,651	$22	6
30	32	The Women's Balcony	Men.	$93,250	+13.4%	34	+7	$2,743	$631,521	-	17
31	26	King Arthur: Legend of the Sword	WB	$89,404	-13.3%	133	-25	$672	$38,678,121	$175	7
32	N	The Bad Batch	Neon	$89,111	-	30	-	$2,970	$89,111	-	1
33	34	Maudie	SPC	$88,754	+28.5%	28	+4	$3,170	$2,787,761	-	5
34	29	Smurfs: The Lost Village	Sony	$72,329	-23.6%	121	-42	$598	$44,708,273	$60	12
35	31	Churchill	Cohen	$70,581	-17.3%	55	-5	$1,283	$1,107,937	-	4
36	30	Going in Style (2017)	WB (NL)	$66,406	-27.4%	123	-43	$540	$44,868,935	$25	12
37	33	Gifted	FoxS	$55,263	-22.2%	76	-24	$727	$24,523,969	$7	12
38	37	A Beautiful Planet	Imax	$42,392	-15.2%	17	-1	$2,494	$10,999,855	-	61
39	41	Band Aid	IFC	$40,488	+7.6%	35	+9	$1,157	$181,192	-	4
40	45	Letters from Baghdad	Vita.	$32,286	+1.9%	18	+1	$1,794	$135,303	-	4
41	49	Born in China	BV	$30,980	+78.4%	65	+38	$477	$13,830,237	-	10
42	36	The Wedding Plan	RAtt.	$28,350	-44.3%	34	-20	$834	$1,348,946	-	7
43	47	A Quiet Passion	MBox	$21,564	-15.8%	34	-3	$634	$1,836,942	-	11
44	66	Score: A Film Music Documentary	Grav.	$20,698	+155.9%	2	+1	$10,349	$35,786	-	2
45	39	3 Idiotas	PNT	$20,276	-52.6%	42	-4	$483	$1,239,307	-	4
46	75	Chasing Trane: The John Coltrane Documentary	Abr.	$19,533	+408.8%	7	-	$2,790	$323,390	-	11
47	44	I, Daniel Blake	IFC	$19,359	-38.9%	36	-7	$538	$228,653	-	4
48	40	Warriors of the Dawn	FIP	$15,405	-63.3%	12	-20	$1,284	$77,135	-	2
49	46	Norman: The Moderate Rise and Tragic Fall of a New York Fixer	SPC	$14,654	-53.7%	24	-21	$611	$3,765,573	-	11
50	43	The Journey	IFC	$14,306	-56.5%	17	+15	$842	$50,531	-	2
51	52	Wakefield	IFC	$14,289	-5.8%	17	-2	$841	$242,935	-	6
52	60	Moka	FM	$14,189	+40.6%	7	+6	$2,027	$28,231	-	2
53	70	Manifesto (2017)	FR	$13,495	+111.1%	5	-	$2,699	$110,040	-	7
54	54	Abacus: Small Enough to Jail	PBS	$12,643	-11.4%	7	-	$1,806	$93,170	-	6
55	35	Dean	CBS	$11,813	-81.0%	28	-55	$422	$248,849	-	4
56	55	Love, Kennedy	Purd.	$11,072	-20.4%	10	-	$1,107	$198,136	-	4
57	N	My Journey Through French Cinema	Cohen	$10,636	-	3	-	$3,545	$10,636	-	1
