1	N	Cars 3	BV	$53,688,680	-	4,256	-	$12,615	$53,688,680	-	1
2	1	Wonder Woman	WB	$41,268,850	-29.5%	4,018	-147	$10,271	$275,095,580	$149	3
3	N	All Eyez on Me	LG/S	$26,435,354	-	2,471	-	$10,698	$26,435,354	$40	1
4	2	The Mummy (2017)	Uni.	$14,510,960	-54.2%	4,034	-1	$3,597	$57,121,660	$125	2
5	N	47 Meters Down	ENTMP	$11,205,561	-	2,270	-	$4,936	$11,205,562	$5.5	1
6	4	Pirates of the Caribbean: Dead Men Tell No Tales	BV	$8,964,039	-16.3%	2,759	-920	$3,249	$150,572,153	$230	4
7	N	Rough Night	Sony	$8,004,283	-	3,162	-	$2,531	$8,004,283	$20	1
8	3	Captain Underpants: The First Epic Movie	Fox	$7,181,541	-41.0%	2,968	-561	$2,420	$57,795,201	$38	3
9	5	Guardians of the Galaxy Vol. 2	BV	$5,071,732	-19.7%	1,813	-1,098	$2,797	$374,942,747	$200	7
10	6	It Comes At Night	A24	$2,601,468	-56.6%	2,450	-83	$1,062	$11,124,631	-	2
11	8	Megan Leavey	BST	$2,541,644	-33.3%	1,832	-124	$1,387	$8,378,502	-	2
12	7	Baywatch	Par.	$1,610,987	-65.3%	1,307	-1,525	$1,233	$55,158,487	$69	4
13	N	The Book of Henry	Focus	$1,424,540	-	579	-	$2,460	$1,424,540	-	1
14	17	Paris Can Wait	SPC	$713,931	+63.6%	447	+271	$1,597	$3,195,793	-	6
15	24	Beatriz At Dinner	RAtt.	$702,072	+394.6%	77	+72	$9,118	$906,100	-	2
16	9	Alien: Covenant	Fox	$568,149	-68.9%	400	-1,414	$1,420	$72,754,134	$97	5
17	11	My Cousin Rachel	FoxS	$530,977	-45.3%	531	+8	$1,000	$1,975,140	-	2
18	10	Everything, Everything	WB	$388,123	-76.1%	403	-1,143	$963	$33,183,091	$10	5
19	12	Diary of a Wimpy Kid: The Long Haul	Fox	$330,813	-49.6%	255	-642	$1,297	$20,087,808	$22	5
20	13	The Boss Baby	Fox	$323,442	-36.9%	260	-172	$1,244	$172,492,985	-	12
21	18	Beauty and the Beast (2017)	BV	$275,792	-27.0%	242	-74	$1,140	$503,368,806	$160	14
22	16	The Fate of the Furious	Uni.	$209,005	-52.8%	189	-200	$1,106	$224,934,880	$250	10
23	34	The Hero	Orch.	$136,584	+201.4%	27	+23	$5,059	$196,477	-	2
24	14	Snatched	Fox	$126,644	-74.2%	211	-440	$600	$45,403,373	$42	6
25	26	How to be a Latin Lover	PNT	$106,732	-14.0%	119	-6	$897	$32,088,029	-	8
26	15	King Arthur: Legend of the Sword	WB	$103,171	-77.4%	158	-1,064	$653	$38,534,645	$175	6
27	25	Lowriders	BH Tilt	$98,600	-28.4%	40	-67	$2,465	$6,155,650	-	6
28	N	Chris Brown: Welcome To My Life	Fathom	$98,088	-	293	-	$335	$693,984	-	1
29	22	Smurfs: The Lost Village	Sony	$94,726	-40.2%	163	-50	$581	$44,548,142	$60	11
30	21	Going in Style (2017)	WB (NL)	$91,413	-53.0%	166	-137	$551	$44,749,457	$25	11
31	20	Churchill	Cohen	$85,393	-57.6%	60	-127	$1,423	$993,017	-	3
32	33	The Women's Balcony	Men.	$82,234	+67.2%	27	+12	$3,046	$500,130	-	16
33	27	Gifted	FoxS	$71,026	-35.8%	100	-62	$710	$24,421,973	$7	11
34	-	Maudie	SPC	$69,085	-	24	-	$2,879	$2,656,181	-	3
35	37	Dean	CBS	$62,125	+48.9%	83	+51	$748	$206,859	-	3
36	28	The Wedding Plan	RAtt.	$50,912	-53.4%	54	-51	$943	$1,294,548	-	6
37	36	A Beautiful Planet	Imax	$49,999	+19.1%	18	+1	$2,778	$10,907,833	-	60
38	52	The Exception	A24	$43,702	+315.1%	14	+12	$3,122	$93,684	-	3
39	19	3 Idiotas	PNT	$42,739	-82.3%	46	-303	$929	$1,204,224	-	3
40	N	Warriors of the Dawn	FIP	$41,959	-	32	-	$1,311	$41,959	-	1
41	39	Band Aid	IFC	$37,640	+33.9%	26	+14	$1,448	$120,228	-	3
42	42	Past Life	Orion	$33,386	+36.6%	23	+2	$1,452	$93,048	-	3
43	N	The Journey	IFC	$32,895	-	2	-	$16,448	$32,895	-	1
44	35	I, Daniel Blake	IFC	$31,703	-24.9%	43	+2	$737	$191,657	-	3
45	47	Letters from Baghdad	Vita.	$31,679	+93.6%	17	+13	$1,863	$86,513	-	3
46	29	Norman: The Moderate Rise and Tragic Fall of a New York Fixer	SPC	$31,641	-69.2%	45	-115	$703	$3,734,498	-	10
47	32	A Quiet Passion	MBox	$25,608	-51.4%	37	-39	$692	$1,793,132	-	10
48	N	Hare Krishna! The Mantra, the Movement and the Swami Who Started it All	Abr.	$22,310	-	1	-	$22,310	$22,310	-	1
49	46	Born in China	BV	$17,363	-11.2%	27	-5	$643	$13,785,898	-	9
50	48	Restless Creature: Wendy Whelan	Abr.	$16,108	+7.8%	8	+2	$2,014	$109,474	-	4
51	62	Dawson City: Frozen Time	KL	$15,922	+178.7%	4	+3	$3,981	$25,816	-	38
52	45	Wakefield	IFC	$15,169	-23.3%	19	-11	$798	$221,053	-	5
53	38	Their Finest	STX	$14,550	-51.7%	29	-44	$502	$3,595,841	-	11
54	50	Abacus: Small Enough to Jail	PBS	$14,268	+14.8%	7	+2	$2,038	$69,735	-	5
55	41	Love, Kennedy	Purd.	$13,911	-49.0%	10	-9	$1,391	$167,661	-	3
56	40	The Lost City of Z	BST	$13,761	-49.9%	13	-108	$1,059	$8,461,742	-	10
57	56	Kedi	Osci.	$11,887	+34.1%	12	+4	$991	$2,727,175	-	19
58	91	Champion	AAE	$10,911	+1,117.7%	6	+1	$1,819	$166,260	-	5
59	43	Logan	Fox	$10,879	-49.5%	22	-70	$495	$226,252,579	$97	16
60	N	Moka	FM	$10,094	-	1	-	$10,094	$10,094	-	1
61	54	Your Name.	FUN	$9,886	-0.8%	8	-4	$1,236	$4,969,794	-	11
62	N	Jasmine	Indic.	$8,358	-	3	-	$2,786	$8,358	-	1
63	90	The Recall	Free	$8,302	+821.4%	31	+27	$268	$19,566	-	3
64	30	The Lovers	A24	$8,166	-86.9%	35	-92	$233	$2,148,721	-	7
65	N	Il Boom (2017 re-release)	Rialto	$8,164	-	1	-	$8,164	$8,164	-	1
66	N	Score: A Film Music Documentary	Grav.	$8,088	-	1	-	$8,088	$8,088	-	1
67	51	Obit.	KL	$7,447	-30.6%	11	-3	$677	$272,827	-	24
68	44	The Case for Christ	PFR	$6,888	-65.2%	18	-33	$383	$14,666,937	-	11
69	53	Stalker (2017 re-release)	Jan.	$6,567	-35.3%	2	-1	$3,284	$182,598	-	7
70	58	Manifesto (2017)	FR	$6,394	-16.4%	5	-4	$1,279	$91,778	-	6
71	-	Stefan Zweig: Farewell to Europe	FRun	$6,282	-	2	-	$3,141	$71,753	-	6
72	59	Journey to the South Pacific	Imax	$5,957	-18.1%	2	-	$2,979	$7,300,964	-	186
73	65	Jeremiah Tower	Orch.	$5,810	+12.6%	13	-6	$447	$220,911	-	9
74	N	Lost in Paris	Osci.	$4,510	-	1	-	$4,510	$4,510	-	1
75	74	Chasing Trane: The John Coltrane Documentary	Abr.	$3,839	+50.5%	7	-1	$548	$303,737	-	10
76	55	Our President	CJ	$3,607	-62.9%	2	+1	$1,804	$32,887	-	3
77	49	Colossal	Neon	$3,524	-75.4%	16	-15	$220	$3,021,345	-	11
78	N	Harmonium	FM	$3,453	-	1	-	$3,453	$3,453	-	1
79	64	God of War	WGUSA	$2,831	-48.8%	1	-4	$2,831	$49,978	-	3
80	67	Under the Sea 3D	WB	$2,734	-33.5%	8	-2	$342	$35,457,892	-	436
81	89	Slack Bay	KL	$2,731	+184.2%	5	+3	$546	$52,077	-	15
82	72	Born to Be Wild (IMAX)	WB	$2,698	-7.8%	10	-	$270	$25,415,480	-	324
83	66	Donnie Darko (2017 Re-Release)	Arrow	$2,051	-59.3%	2	-4	$1,026	$194,220	-	12
84	68	Citizen Jane	IFC	$1,994	-43.9%	3	-8	$665	$298,005	-	9
85	-	Last Men in Aleppo	Ghop	$1,983	-	4	-	$496	$8,996	-	6
86	75	David Lynch: The Art Life	Jan.	$1,976	-18.3%	2	-1	$988	$169,517	-	12
87	N	Scum (2017 re-release)	KL	$1,948	-	1	-	$1,948	$1,948	-	1
