1	N	Annabelle: Creation	WB (NL)	$35,006,404	-	3,502	-	$9,996	$35,006,404	$15	1
2	2	Dunkirk	WB	$10,884,117	-36.5%	3,762	-252	$2,893	$153,191,668	$100	4
3	N	The Nut Job 2: Nutty by Nature	ORF	$8,342,311	-	4,003	-	$2,084	$8,342,311	$40	1
4	1	The Dark Tower	Sony	$7,820,154	-59.2%	3,451	-	$2,266	$34,250,918	$60	2
5	4	Girls Trip	Uni.	$6,466,475	-43.3%	2,303	-279	$2,808	$97,139,980	$19	4
6	3	The Emoji Movie	Sony	$6,450,927	-46.3%	3,219	-856	$2,004	$63,437,874	$50	3
7	6	Spider-Man: Homecoming	Sony	$6,022,637	-31.9%	2,607	-509	$2,310	$306,376,331	$175	6
8	5	Kidnap (2017)	Aviron	$5,096,823	-49.1%	2,418	+40	$2,108	$19,266,106	$21	2
9	N	The Glass Castle	LGF	$4,678,548	-	1,461	-	$3,202	$4,678,548	-	1
10	7	Atomic Blonde	Focus	$4,480,635	-45.1%	2,093	-1,233	$2,141	$42,727,860	$30	3
11	9	War for the Planet of the Apes	Fox	$3,603,698	-41.6%	2,098	-606	$1,718	$137,232,191	$150	5
12	10	Despicable Me 3	Uni.	$3,129,420	-42.4%	2,013	-432	$1,555	$247,735,865	$80	7
13	8	Detroit	Annapurna	$2,885,794	-59.5%	3,007	-	$960	$13,300,258	$34	3
14	14	The Big Sick	LGF	$1,463,932	-32.3%	709	-296	$2,065	$36,407,780	-	8
15	13	Wonder Woman	WB	$1,447,475	-36.7%	961	-346	$1,506	$402,175,560	$149	11
16	11	Baby Driver	TriS	$1,441,906	-44.0%	865	-559	$1,667	$100,033,833	$34	7
17	12	Valerian and the City of a Thousand Planets	STX	$901,323	-62.4%	785	-1,010	$1,148	$38,359,317	$177.2	4
18	16	An Inconvenient Sequel: Truth to Power	Par.	$816,150	-15.1%	556	+376	$1,468	$2,311,811	$1	3
19	N	Toilet: Ek Prem Katha	Relbig.	$678,436	-	178	-	$3,811	$678,436	-	1
20	29	Wind River	Wein.	$622,567	+285.4%	45	+41	$13,835	$850,785	$11	2
21	18	Wolf Warrior 2	HC	$413,510	-18.4%	52	+20	$7,952	$1,926,837	$30.1	3
22	N	A Taxi Driver	WGUSA	$331,854	-	41	-	$8,094	$331,854	-	1
23	17	Cars 3	BV	$330,052	-38.9%	308	-169	$1,072	$148,324,248	-	9
24	30	Step (2017)	FoxS	$266,368	+81.8%	185	+156	$1,440	$466,734	-	2
25	22	Transformers: The Last Knight	Par.	$264,575	-12.5%	255	-67	$1,038	$129,816,058	$217	8
26	19	Guardians of the Galaxy Vol. 2	BV	$257,117	-43.3%	210	-42	$1,224	$388,879,065	$200	15
27	N	Once Upon A Time	WGUSA	$249,933	-	51	-	$4,901	$249,933	-	1
28	36	Menashe	A24	$172,514	+123.3%	47	+37	$3,671	$396,259	-	3
29	24	Maudie	SPC	$163,450	-35.6%	163	-24	$1,003	$5,414,986	-	18
30	-	The Battleship Island	CJ	$150,113	-	38	-	$3,950	$902,509	-	3
31	23	47 Meters Down	ENTMP	$149,881	-48.2%	173	-238	$866	$43,366,937	$5.5	9
32	26	Captain Underpants: The First Epic Movie	Fox	$145,805	-29.7%	178	-51	$819	$73,146,971	$38	11
33	N	Ingrid Goes West	Neon	$135,301	-	3	-	$45,100	$135,301	-	1
34	34	The House	WB (NL)	$130,071	+32.9%	148	+24	$879	$25,319,339	$40	7
35	25	Landline	Magn.	$130,001	-42.7%	137	-6	$949	$731,202	-	4
36	N	Good Time	A24	$125,101	-	4	-	$31,275	$125,101	-	1
37	27	Pirates of the Caribbean: Dead Men Tell No Tales	BV	$110,891	-38.7%	125	-42	$887	$171,563,981	$230	12
38	28	Lady Macbeth	RAtt.	$82,982	-50.4%	119	-12	$697	$924,094	-	5
39	21	Wish Upon	BG	$81,060	-74.2%	115	-230	$705	$13,990,387	$12	5
40	33	The Mummy (2017)	Uni.	$59,615	-57.3%	102	-44	$584	$80,072,590	$125	10
41	38	The Little Hours	G&S	$59,602	-12.7%	60	-	$993	$1,441,416	-	7
42	N	The Only Living Boy in New York	RAtt.	$54,458	-	15	-	$3,631	$54,458	-	1
43	35	The Midwife	MBox	$52,363	-37.2%	43	-	$1,218	$337,431	-	4
44	45	Brigsby Bear	SPC	$51,121	+31.3%	37	+22	$1,382	$168,177	-	3
45	43	A Beautiful Planet	Imax	$46,775	+0.9%	16	+1	$2,923	$11,876,278	-	68
46	49	Columbus	INDEP	$44,860	+67.3%	7	+5	$6,409	$86,937	-	2
47	N	Whose Streets?	Magn.	$43,804	-	24	-	$1,825	$43,804	-	1
48	37	Megan Leavey	BST	$42,411	-42.0%	75	-21	$565	$13,050,700	-	10
49	31	A Ghost Story	A24	$41,744	-71.1%	57	-151	$732	$1,456,088	$0.1	6
50	N	The Trip to Spain	IFC	$40,875	-	3	-	$13,625	$40,875	-	1
51	44	Beatriz At Dinner	RAtt.	$34,021	-21.1%	41	-3	$830	$6,994,528	-	10
52	41	Lost in Paris	Osci.	$33,951	-32.8%	25	-10	$1,358	$472,713	-	9
53	42	Rough Night	Sony	$33,932	-28.4%	185	+158	$183	$22,008,534	$20	9
54	39	The Boss Baby	Fox	$26,188	-58.4%	87	-33	$301	$174,880,623	-	20
55	32	Mubarakan	Sony	$25,702	-81.7%	22	-106	$1,168	$740,071	-	3
56	47	The Hero	Orch.	$22,128	-28.6%	43	-10	$515	$3,965,368	-	10
57	53	The Women's Balcony	Men.	$17,345	+16.2%	16	+2	$1,084	$1,104,530	-	24
58	50	Island of Lemurs: Madagascar (IMAX)	WB	$13,654	-22.3%	4	+1	$3,414	$10,790,503	-	176
59	48	We Love You, Sally Carmichael!	Purd.	$13,212	-57.3%	11	+4	$1,201	$58,853	-	2
60	46	Alien: Covenant	Fox	$11,757	-63.4%	45	-29	$261	$74,228,655	$97	13
61	N	Walk With Me	Gathr	$9,932	-	1	-	$9,932	$9,932	-	1
62	51	Paris Can Wait	SPC	$9,544	-39.7%	16	-12	$597	$5,586,613	-	14
63	57	13 Minutes	SPC	$8,641	-19.1%	18	+5	$480	$131,675	-	7
64	N	The Nile Hilton Incident	Strand	$8,183	-	2	-	$4,092	$9,183	-	1
65	55	Journey to the South Pacific	Imax	$8,025	-28.4%	2	-1	$4,013	$7,469,234	-	194
66	56	Gifted	FoxS	$7,961	-25.5%	15	-2	$531	$24,793,041	$7	19
67	63	It Comes At Night	A24	$7,749	+8.2%	5	-10	$1,550	$13,869,903	-	10
68	59	From the Land of the Moon	IFC	$7,086	-19.8%	7	-2	$1,012	$29,843	-	3
69	60	Under the Sea 3D	WB	$6,921	-15.3%	5	+1	$1,384	$35,573,824	-	444
70	N	The Farthest	Abr.	$6,900	-	2	-	$3,450	$6,900	-	1
71	-	The Fencer	CFI	$5,812	-	4	-	$1,453	$15,147	-	3
72	62	Love, Kennedy	Purd.	$5,401	-29.5%	12	-2	$450	$364,326	-	11
73	66	The Last Dalai Lama?	Mats.	$5,098	-12.3%	5	+2	$1,020	$59,785	-	6
74	N	30 Years of Garbage: The Garbage Pail Kids Story	Indic.	$5,030	-	2	-	$2,515	$5,030	-	1
75	65	Turn It Around: The Story of East Bay Punk	Abr.	$4,602	-34.0%	3	+1	$1,534	$23,978	-	3
76	69	Born to Be Wild (IMAX)	WB	$3,941	-20.7%	6	+1	$657	$25,514,272	-	332
77	80	Letters from Baghdad	Vita.	$3,885	+36.9%	6	-1	$648	$307,176	-	11
78	84	Marie Curie: The Courage of Knowledge	Society	$3,868	+155.1%	4	-	$967	$121,064	-	7
79	74	Dawson City: Frozen Time	KL	$3,678	-3.0%	6	+1	$613	$104,644	-	46
80	103	Harold and Lillian: A Hollywood Love Story	Zeit.	$3,550	+1,917.0%	5	+4	$710	$70,526	-	16
81	67	Diary of a Wimpy Kid: The Long Haul	Fox	$3,372	-41.2%	11	-7	$307	$20,737,440	$22	13
82	58	Person To Person	Magn.	$3,105	-66.3%	9	-4	$345	$39,057	-	3
83	76	4 Days in France	CGld	$3,028	-18.8%	2	+1	$1,514	$8,925	-	2
84	-	Amnesia	FM	$2,943	-	1	-	$2,943	$8,016	-	4
85	70	Slack Bay	KL	$2,853	-40.8%	3	-1	$951	$99,920	-	23
86	N	Machines	KL	$2,838	-	1	-	$2,838	$4,530	-	1
87	64	Rumble: The Indians Who Rocked The World	KL	$2,703	-62.0%	3	+1	$901	$63,109	-	13
88	-	Hare Krishna! The Mantra, the Movement and the Swami Who Started it All	Abr.	$2,312	-	1	-	$2,312	$71,810	-	9
89	72	The Exception	A24	$2,148	-50.8%	4	-1	$537	$700,220	-	11
90	71	Churchill	Cohen	$2,123	-55.2%	4	-	$531	$1,279,502	-	11
91	78	Simple Creature	Indic.	$1,916	-36.3%	2	-1	$958	$12,009	-	2
92	-	In Pursuit of Silence	CGld	$1,873	-	1	-	$1,873	$17,127	-	8
93	68	The Untamed	Strand	$1,723	-69.3%	4	-4	$431	$22,038	-	4
94	-	False Confessions	BWP	$1,600	-	3	-	$533	$23,236	-	4
95	83	Stalker (2017 re-release)	Jan.	$1,581	-8.1%	1	-	$1,581	$254,635	-	15
96	104	I am the Blues	FM	$1,501	+1,901.3%	2	+1	$751	$21,614	-	5
97	87	A Beginner's Guide to Snuff	Indic.	$1,388	+11.5%	2	-	$694	$19,139	-	8
98	-	Manifesto (2017)	FR	$1,331	-	1	-	$1,331	$160,101	-	14
99	85	The Girl Without Hands	GK	$1,301	+4.4%	4	-	$325	$10,084	-	4
100	77	Pop Aye	KL	$1,253	-63.8%	5	-	$251	$59,479	-	7
101	73	City of Ghosts	IFC	$1,004	-75.2%	11	-2	$91	$118,242	-	6
102	82	Man Underground	Indic.	$876	-50.8%	1	-3	$876	$15,915	-	5
103	N	After Love	Distrib.	$810	-	1	-	$810	$1,182	-	1
104	79	Moka	FM	$730	-74.7%	2	-	$365	$117,576	-	9
105	95	Obit.	KL	$665	+19.0%	2	-	$333	$312,324	-	32
106	-	Restless Creature: Wendy Whelan	Abr.	$618	-	1	-	$618	$147,780	-	12
107	93	My Journey Through French Cinema	Cohen	$595	-22.3%	2	-	$298	$51,871	-	8
108	90	Jasmine	Indic.	$498	-39.6%	1	-2	$498	$22,775	-	9
109	99	Hidden Figures	Fox	$487	+7.3%	2	-1	$244	$169,375,735	$25	34
110	-	Afterimage	FM	$372	-	1	-	$372	$33,066	-	13
111	-	Tomorrow	UTMW	$334	-	1	-	$334	$55,153	-	23
112	92	Space Station 3-D (IMAX)	Imax	$265	-66.5%	2	+1	$133	$93,293,844	-	784
113	102	The Ghoul	Arrow	$263	+5.6%	2	+1	$132	$617	-	2
114	89	The Ornithologist	Strand	$243	-78.4%	2	-3	$122	$45,848	-	8
115	97	L'important C'est D'aimer (2017 Re-Release)	Rialto	$213	-59.0%	1	-	$213	$16,410	-	5
116	101	The Fuzz	Indic.	$202	-37.8%	1	-	$202	$5,958	-	4
117	-	Harmonium	FM	$126	-	1	-	$126	$16,562	-	9
118	98	Deep Sea 3D (IMAX)	WB	$95	-80.8%	1	-	$95	$46,260,546	-	584
