1	N	Fantastic Beasts and Where To Find Them	WB	$74,403,387	-	4,144	-	$17,954	$74,403,387	$180	1
2	1	Doctor Strange	BV	$17,761,060	-58.7%	3,694	-188	$4,808	$181,627,937	$165	3
3	2	Trolls	Fox	$17,448,673	-50.1%	3,945	-121	$4,423	$116,163,206	$125	3
4	3	Arrival	Par.	$12,138,671	-49.6%	2,335	+18	$5,199	$43,709,470	$47	2
5	4	Almost Christmas	Uni.	$7,256,950	-52.0%	2,379	+3	$3,050	$25,637,690	$17	2
6	5	Hacksaw Ridge	LGF	$6,666,920	-37.3%	2,883	-88	$2,312	$42,771,212	$40	3
7	N	The Edge of Seventeen	STX	$4,754,215	-	1,945	-	$2,444	$4,754,215	$9	1
8	N	Bleed for This	ORF	$2,366,810	-	1,549	-	$1,528	$2,366,810	$6	1
9	6	The Accountant	WB	$2,156,421	-51.1%	1,423	-919	$1,515	$81,293,439	$44	6
10	7	Shut In	EC	$1,605,648	-55.6%	2,006	-52	$800	$6,042,293	-	2
11	13	Moonlight (2016)	A24	$1,488,740	+17.7%	650	+474	$2,290	$6,644,790	$4	5
12	8	Boo! A Madea Halloween	LGF	$1,141,538	-67.6%	1,171	-933	$975	$72,134,359	$20	5
13	9	Jack Reacher: Never Go Back	Par.	$988,286	-70.1%	1,110	-1,474	$890	$56,657,471	$60	5
14	32	Billy Lynn's Long Halftime Walk	TriS	$901,062	+689.5%	1,176	+1,174	$766	$1,057,673	-	2
15	16	Loving	Focus	$869,430	+69.5%	137	+91	$6,346	$1,752,518	-	3
16	10	Inferno	Sony	$664,301	-79.6%	770	-1,886	$863	$33,397,774	$75	4
17	12	The Girl on the Train (2016)	Uni.	$588,440	-64.1%	492	-516	$1,196	$74,469,545	$45	7
18	N	Nocturnal Animals	Focus	$492,648	-	37	-	$13,315	$492,648	-	1
19	14	Miss Peregrine's Home for Peculiar Children	Fox	$375,818	-69.0%	464	-491	$810	$85,763,459	$110	8
20	11	Ouija: Origin of Evil	Uni.	$303,855	-82.4%	381	-1,157	$798	$34,904,885	$9	5
21	N	Manchester by the Sea	RAtt.	$256,498	-	4	-	$64,125	$256,498	$9	1
22	19	A Man Called Ove	MBox	$243,394	-33.5%	165	-28	$1,475	$2,810,632	-	8
23	21	The Secret Life of Pets	Uni.	$232,395	-25.5%	214	-7	$1,086	$367,505,375	$75	20
24	26	The Magnificent Seven (2016)	Sony	$192,573	-10.0%	235	-3	$819	$92,900,377	$90	9
25	17	Storks	WB	$191,718	-60.2%	222	-206	$864	$71,012,253	$70	9
26	28	The Eagle Huntress	SPC	$182,072	-5.5%	39	+8	$4,669	$542,113	-	3
27	N	I Am Not Madame Bovary	WGUSA	$181,552	-	38	-	$4,778	$181,552	-	1
28	15	Keeping Up with the Joneses	Fox	$176,147	-68.3%	216	-294	$815	$14,621,439	$40	5
29	20	Sully	WB	$160,124	-52.7%	203	-100	$789	$124,107,361	$60	11
30	23	Middle School: The Worst Years of My Life	LGF	$153,737	-42.8%	207	-19	$743	$19,761,910	$8.5	7
31	22	Chaar Sahibzaade: Rise of Band Singh Bahadur	Eros	$143,705	-52.7%	103	-	$1,395	$555,015	-	2
32	18	Deepwater Horizon	LG/S	$139,876	-64.2%	201	-189	$696	$60,841,537	$110	8
33	25	The Handmaiden	Magn.	$136,250	-37.6%	103	-20	$1,323	$1,471,367	-	5
34	43	Elle	SPC	$126,452	+148.3%	24	+22	$5,269	$212,538	-	2
35	27	Pete's Dragon (2016)	BV	$124,448	-39.0%	162	-17	$768	$75,958,953	$65	15
36	39	A Beautiful Planet	Imax	$75,109	-1.0%	30	-1	$2,504	$7,437,581	-	30
37	31	Finding Dory	BV	$75,081	-49.7%	121	-19	$621	$486,188,497	-	23
38	30	Denial	BST	$73,872	-52.0%	84	-37	$879	$3,975,470	-	8
39	24	Ae Dil Hai Mushkil	FIP	$70,388	-73.3%	53	-110	$1,328	$4,237,741	-	4
40	36	Kubo and the Two Strings	Focus	$50,036	-45.9%	88	-19	$569	$47,969,818	$60	14
41	33	Queen of Katwe	BV	$47,843	-57.2%	81	-37	$591	$8,696,341	$15	9
42	N	The Take (2016)	HTR	$41,546	-	100	-	$415	$41,546	-	1
43	55	The Love Witch	Osci.	$37,607	+109.2%	22	+16	$1,709	$64,269	-	2
44	47	The Dressmaker	BG	$34,533	-24.0%	38	-2	$909	$1,954,376	-	9
45	50	Harry & Snowman	FR	$34,085	+6.5%	24	+9	$1,420	$478,095	-	8
46	34	Certain Women	IFC	$34,020	-68.6%	63	-57	$540	$1,011,020	-	6
47	N	A Street Cat Named Bob	Cleopatra	$32,887	-	24	-	$1,370	$32,887	-	1
48	29	Kevin Hart: What Now?	Uni.	$30,995	-81.6%	62	-134	$500	$23,564,630	$9.9	6
49	N	Until Forever (Por Siempre)	CZ	$26,687	-	12	-	$2,224	$32,390	-	1
50	40	Gimme Danger	Magn.	$23,704	-63.8%	32	-35	$741	$370,798	-	4
51	37	The Birth of a Nation	FoxS	$23,507	-73.5%	44	-63	$534	$15,827,279	$8.5	7
52	N	Best Worst Thing That Ever Could Have Happened	Abr.	$23,490	-	2	-	$11,745	$23,490	-	1
53	54	The Beatles: Eight Days a Week - The Touring Years	Abr.	$21,992	+11.7%	12	-9	$1,833	$2,871,621	-	10
54	49	Christine (2016)	Orch.	$20,358	-37.7%	45	-12	$452	$250,384	-	6
55	42	Mr. Donkey	CL	$14,654	-75.8%	10	-17	$1,465	$344,903	-	4
56	44	I'm Not Ashamed	PFR	$12,175	-74.5%	22	-63	$553	$2,074,648	-	5
57	52	Don't Breathe	SGem	$11,523	-56.0%	23	-24	$501	$89,071,222	$9.9	13
58	51	Aquarius	Vita.	$11,415	-59.2%	20	-7	$571	$285,930	-	6
59	N	Daughters of the Dust (2016 re-release)	Cohen	$10,842	-	1	-	$10,842	$10,842	-	1
60	N	Off the Rails	TFC	$8,795	-	1	-	$8,795	$8,795	-	1
61	62	Tampopo (2016 re-release)	Jan.	$8,693	+12.9%	4	+2	$2,173	$99,458	-	5
62	-	Do Not Resist	Vanish	$7,948	-	8	-	$994	$65,136	-	8
63	46	American Pastoral	LGF	$7,538	-83.5%	20	-39	$377	$533,508	-	5
64	58	Disturbing the Peace	Abr.	$7,333	-32.8%	2	-	$3,667	$23,688	-	2
65	59	Don't Think Twice	TFA	$6,928	-35.1%	5	-5	$1,386	$4,411,199	-	18
66	48	Luck-Key	JBG	$5,306	-85.3%	5	-6	$1,061	$464,715	-	5
67	-	Hubble 3D	WB	$4,504	-	8	-	$563	$51,737,533	-	349
68	N	Vanishing Time: A Boy Who Returned	Dreamwest	$4,156	-	2	-	$2,078	$4,156	-	1
69	76	Born to Be Wild (IMAX)	WB	$4,067	+29.6%	6	-	$678	$25,087,338	-	294
70	66	American Honey	A24	$3,993	-28.1%	11	-	$363	$654,465	-	8
71	81	Peter and the Farm	Magn.	$3,201	+32.1%	6	-	$534	$12,749	-	3
72	70	Kiki, Love to Love	Strand	$3,200	-19.1%	3	+2	$1,067	$7,874	-	2
73	N	Blood on the Mountain	Abr.	$3,184	-	2	-	$1,592	$3,184	-	1
74	75	No Pay, Nudity	Mont.	$3,161	-1.9%	6	+3	$527	$7,619	-	2
75	78	National Bird	FR	$2,981	-1.6%	8	+7	$373	$7,075	-	2
76	61	Seed: The Untold Story	CEye	$2,832	-66.2%	2	-3	$1,416	$89,794	-	13
77	77	Operation Mekong	WGUSA	$2,367	-22.8%	1	-4	$2,367	$799,607	-	8
78	57	Priceless (2016)	RAtt.	$2,352	-80.5%	4	-17	$588	$1,495,299	-	6
79	56	El Jeremias	Sony	$2,344	-83.9%	4	-9	$586	$650,045	-	5
80	82	The Wanderers (2016 re-release)	KL	$1,937	-12.2%	4	+3	$484	$8,980	-	2
81	93	The Hollars	SPC	$1,825	+64.4%	8	+5	$228	$1,014,002	-	13
82	84	Fire at Sea	KL	$1,742	-6.6%	2	-	$871	$58,857	-	10
83	95	A Bit of Bad Luck	Indic.	$1,644	+64.4%	2	-2	$822	$10,688	-	8
84	102	Search Engines	Indic.	$1,504	+113.0%	2	+1	$752	$10,683	-	6
