1	17	Hidden Figures	Fox	$22,800,057	+2,556.6%	2,471	+2,446	$9,227	$25,754,235	$25	3
2	1	Rogue One: A Star Wars Story	BV	$22,063,570	-55.5%	4,157	-	$5,308	$477,364,924	$200	4
3	2	Sing	Uni.	$20,712,365	-51.7%	3,955	-74	$5,237	$214,512,010	$75	3
4	N	Underworld: Blood Wars	SGem	$13,688,751	-	3,070	-	$4,459	$13,688,751	$35	1
5	7	La La Land	LG/S	$10,132,213	+6.1%	1,515	+765	$6,688	$51,788,800	$30	5
6	3	Passengers (2016)	Sony	$8,816,213	-45.4%	3,400	-78	$2,593	$80,909,256	$110	3
7	5	Why Him?	Fox	$6,901,730	-31.3%	2,904	-104	$2,377	$48,961,283	$38	3
8	4	Moana	BV	$6,384,485	-41.9%	2,549	-226	$2,505	$225,365,667	-	7
9	6	Fences	Par.	$4,813,606	-52.1%	2,368	+67	$2,033	$40,776,870	$24	4
10	8	Assassin's Creed	Fox	$4,178,643	-51.8%	2,642	-354	$1,582	$49,884,426	$125	3
11	9	Manchester by the Sea	RAtt.	$2,518,237	-40.7%	1,057	-149	$2,382	$33,858,594	$9	8
12	49	A Monster Calls	Focus	$2,080,051	+9,773.5%	1,523	+1,519	$1,366	$2,171,543	-	3
13	13	Lion	Wein.	$2,073,433	-8.8%	600	+75	$3,456	$9,866,152	$12	7
14	11	Fantastic Beasts and Where To Find Them	WB	$1,923,459	-53.2%	1,188	-654	$1,619	$229,180,032	$180	8
15	10	Collateral Beauty	WB (NL)	$1,291,048	-69.0%	1,402	-1,343	$921	$29,846,313	$36	4
16	15	Jackie	FoxS	$1,048,643	-32.6%	353	-6	$2,971	$9,245,194	-	6
17	16	Arrival	Par.	$865,796	-36.3%	381	-164	$2,272	$94,128,318	$47	9
18	14	Dangal	UTV	$807,311	-61.6%	237	-101	$3,406	$11,151,900	-	3
19	12	Office Christmas Party	Par.	$802,911	-77.6%	953	-1,394	$843	$54,065,262	$45	5
20	30	Silence (2016)	Par.	$482,034	+478.6%	51	+47	$9,452	$864,457	-	3
21	18	Trolls	Fox	$440,365	-34.3%	332	-86	$1,326	$151,287,892	$125	10
22	21	Moonlight (2016)	A24	$321,614	+3.3%	135	-2	$2,382	$13,225,875	$4	12
