1	1	Doctor Strange	BV	$42,970,065	-49.5%	3,882	-	$11,069	$152,952,234	$165	2
2	2	Trolls	Fox	$34,979,577	-24.9%	4,066	+6	$8,603	$93,943,892	$125	2
3	N	Arrival	Par.	$24,074,047	-	2,317	-	$10,390	$24,074,047	$47	1
4	N	Almost Christmas	Uni.	$15,134,235	-	2,376	-	$6,370	$15,134,235	$17	1
5	3	Hacksaw Ridge	LGF	$10,630,873	-30.0%	2,971	+85	$3,578	$32,120,194	$40	2
6	6	The Accountant	WB	$4,412,248	-24.9%	2,342	-346	$1,884	$77,568,003	$44	5
7	N	Shut In	EC	$3,613,567	-	2,058	-	$1,756	$3,613,567	-	1
8	4	Boo! A Madea Halloween	LGF	$3,519,903	-54.5%	2,104	-130	$1,673	$70,377,982	$20	4
9	7	Jack Reacher: Never Go Back	Par.	$3,303,081	-39.4%	2,584	-495	$1,278	$54,564,792	$60	4
10	5	Inferno	Sony	$3,260,497	-47.1%	2,656	-920	$1,228	$31,592,512	$75	3
11	8	Ouija: Origin of Evil	Uni.	$1,730,605	-55.3%	1,538	-842	$1,125	$34,240,695	$9	4
12	9	The Girl on the Train (2016)	Uni.	$1,637,935	-39.1%	1,008	-564	$1,625	$73,341,065	$45	6
13	11	Moonlight (2016)	A24	$1,265,229	+2.4%	176	+93	$7,189	$4,682,889	$4	4
14	10	Miss Peregrine's Home for Peculiar Children	Fox	$1,213,376	-40.8%	955	-755	$1,271	$85,160,483	$110	7
15	12	Keeping Up with the Joneses	Fox	$555,837	-49.1%	510	-554	$1,090	$14,282,415	$40	4
16	27	Loving	Focus	$512,842	+221.3%	46	+42	$11,149	$721,033	-	2
17	13	Storks	WB	$481,179	-51.9%	428	-727	$1,124	$70,756,913	$70	8
18	15	Deepwater Horizon	LG/S	$390,458	-47.9%	390	-393	$1,001	$60,580,745	$110	7
19	20	A Man Called Ove	MBox	$366,140	-0.6%	193	+26	$1,897	$2,413,242	-	7
20	17	Sully	WB	$338,477	-35.7%	303	-151	$1,117	$123,823,536	$60	10
21	22	The Secret Life of Pets	Uni.	$311,900	+11.8%	221	-16	$1,411	$367,211,525	$75	19
22	N	Chaar Sahibzaade: Rise of Band Singh Bahadur	Eros	$303,863	-	103	-	$2,950	$303,863	-	1
23	19	Middle School: The Worst Years of My Life	LGF	$268,667	-33.7%	226	-259	$1,189	$19,567,245	$8.5	6
24	14	Ae Dil Hai Mushkil	FIP	$263,630	-66.4%	163	-133	$1,617	$4,097,526	-	3
25	23	The Handmaiden	Magn.	$218,437	-19.5%	123	+25	$1,776	$1,231,954	-	4
26	18	The Magnificent Seven (2016)	Sony	$214,032	-52.7%	238	-252	$899	$92,630,454	$90	8
27	34	Pete's Dragon (2016)	BV	$204,179	+110.8%	179	+89	$1,141	$75,788,662	$65	14
28	42	The Eagle Huntress	SPC	$192,661	+266.5%	31	+27	$6,215	$281,105	-	2
29	16	Kevin Hart: What Now?	Uni.	$168,105	-71.1%	196	-257	$858	$23,485,955	$9.9	5
