1	1	Moana	BV	$28,270,989	-50.1%	3,875	-	$7,296	$119,786,319	-	2
2	2	Fantastic Beasts and Where To Find Them	WB	$18,118,111	-59.8%	3,988	-156	$4,543	$183,080,514	$180	3
3	5	Arrival	Par.	$7,267,029	-36.6%	2,915	+473	$2,493	$73,045,543	$47	4
4	4	Allied	Par.	$7,026,249	-44.7%	3,160	-	$2,223	$28,903,681	$85	2
5	3	Doctor Strange	BV	$6,684,552	-51.3%	2,935	-73	$2,278	$215,507,729	$165	5
6	6	Trolls	Fox	$4,688,393	-55.9%	3,156	-166	$1,486	$141,459,838	$125	5
7	9	Hacksaw Ridge	LGF	$3,341,027	-39.5%	2,494	+162	$1,340	$57,205,983	$40	5
8	7	Bad Santa 2	BG	$3,286,338	-46.8%	2,945	+25	$1,116	$14,287,382	$26	2
9	N	Incarnate	BH Tilt	$2,534,884	-	1,737	-	$1,459	$2,534,884	$5	1
10	8	Almost Christmas	Uni.	$2,532,050	-55.5%	1,556	-213	$1,627	$38,179,200	$17	4
11	13	Manchester by the Sea	RAtt.	$2,270,911	+85.2%	156	+108	$14,557	$4,330,854	$9	3
12	10	The Edge of Seventeen	STX	$1,607,794	-45.8%	1,608	-337	$1,000	$12,716,284	$9	3
13	11	Loving	Focus	$968,746	-42.9%	446	+25	$2,172	$5,563,912	-	5
14	14	Moonlight (2016)	A24	$845,817	-30.6%	574	-44	$1,474	$9,826,174	$4	7
15	15	The Accountant	WB	$748,652	-28.2%	608	+52	$1,231	$84,244,122	$44	8
16	18	Nocturnal Animals	Focus	$700,187	-16.3%	127	-	$5,513	$2,719,475	-	3
17	12	Rules Don't Apply	Fox	$543,058	-65.8%	2,386	+4	$228	$3,310,713	$25	2
18	N	Believe (2016)	Free	$477,387	-	638	-	$748	$477,387	-	1
19	16	Dear Zindagi	Relbig.	$436,335	-55.4%	156	+3	$2,797	$2,097,991	-	2
20	17	Bleed for This	ORF	$295,675	-67.9%	649	-900	$456	$4,847,865	$6	3
21	N	Kahaani 2	Eros	$279,009	-	81	-	$3,445	$279,009	-	1
22	N	Jackie	FoxS	$278,715	-	5	-	$55,743	$278,715	-	1
23	19	Jack Reacher: Never Go Back	Par.	$230,873	-36.1%	298	-47	$775	$57,764,977	$60	7
24	21	The Eagle Huntress	SPC	$204,776	-22.1%	81	+17	$2,528	$1,190,290	-	5
25	30	Storks	WB	$203,987	+48.3%	262	+88	$779	$71,465,629	$70	11
26	22	Miss Peregrine's Home for Peculiar Children	Fox	$166,413	-29.0%	233	+18	$714	$86,379,832	$110	10
27	25	The Girl on the Train (2016)	Uni.	$131,235	-40.3%	177	-10	$741	$75,085,350	$45	9
28	20	Boo! A Madea Halloween	LGF	$130,080	-60.1%	235	-104	$554	$72,994,834	$20	7
29	26	Sully	WB	$120,495	-43.2%	202	-51	$597	$124,628,672	$60	13
30	32	Lion	Wein.	$116,554	-5.5%	7	+3	$16,651	$275,702	$12	2
31	23	The Secret Life of Pets	Uni.	$116,220	-48.2%	189	-20	$615	$368,023,245	$75	22
32	28	Deepwater Horizon	LG/S	$111,913	-39.8%	166	-21	$674	$61,284,947	$110	10
33	29	Inferno	Sony	$94,559	-40.4%	154	-11	$614	$33,944,635	$75	6
34	34	Elle	SPC	$83,010	-29.5%	32	-4	$2,594	$537,819	-	4
35	31	The Magnificent Seven (2016)	Sony	$74,556	-45.6%	150	-45	$497	$93,268,397	$90	11
36	33	A Man Called Ove	MBox	$67,674	-45.0%	75	-13	$902	$3,151,572	-	10
37	24	Shut In	EC	$62,292	-72.0%	121	-156	$515	$6,800,525	-	4
38	37	A Beautiful Planet	Imax	$58,130	-35.8%	32	-1	$1,817	$7,712,426	-	32
39	38	The Handmaiden	Magn.	$48,850	-38.4%	51	-10	$958	$1,708,585	-	7
40	61	Don't Breathe	SGem	$48,810	+611.2%	79	+64	$618	$89,135,363	$9.9	15
41	41	Miss Sloane	EC	$44,853	-25.0%	4	+1	$11,213	$123,889	-	2
42	40	Keeping Up with the Joneses	Fox	$43,543	-27.6%	91	-19	$478	$14,811,914	$40	7
43	N	Sky on Fire	WGUSA	$39,589	-	21	-	$1,885	$39,589	-	1
44	36	Pete's Dragon (2016)	BV	$34,061	-66.4%	86	-41	$396	$76,204,454	$65	17
45	N	Things To Come	IFC	$31,936	-	3	-	$10,645	$31,936	-	1
46	27	Billy Lynn's Long Halftime Walk	TriS	$28,560	-86.0%	75	-1,101	$381	$1,721,524	-	4
47	39	I Am Not Madame Bovary	WGUSA	$24,041	-65.4%	9	-18	$2,671	$409,799	-	3
