1	1	Split	Uni.	$14,424,195	-43.8%	3,373	+174	$4,276	$98,540,660	$9	3
2	N	Rings	Par.	$13,002,632	-	2,931	-	$4,436	$13,002,632	$25	1
3	2	A Dog's Purpose	Uni.	$10,509,170	-42.3%	3,178	+119	$3,307	$32,610,435	$22	2
4	3	Hidden Figures	Fox	$10,189,588	-27.2%	3,401	+50	$2,996	$119,491,683	$25	7
5	5	La La Land	LG/S	$7,372,066	-39.7%	3,236	+100	$2,278	$118,228,990	$30	9
6	4	Resident Evil: The Final Chapter	SGem	$4,701,302	-65.4%	3,104	-	$1,515	$22,053,077	$40	2
7	7	Sing	Uni.	$4,052,190	-36.8%	2,293	-409	$1,767	$262,878,670	$75	7
8	6	xXx: The Return of Xander Cage	Par.	$3,875,479	-54.9%	2,478	-1,173	$1,564	$40,200,366	$85	3
9	N	The Space Between Us	STX	$3,775,596	-	2,812	-	$1,343	$3,775,596	$30	1
10	14	Lion	Wein.	$3,760,097	+60.1%	1,405	+830	$2,676	$24,465,771	$12	11
11	8	Rogue One: A Star Wars Story	BV	$2,922,879	-44.6%	1,613	-436	$1,812	$524,632,391	$200	8
12	9	Monster Trucks	Par.	$2,166,214	-48.1%	1,901	-595	$1,140	$31,160,807	-	4
13	12	The Founder	Wein.	$1,433,671	-45.0%	936	-179	$1,532	$9,830,476	-	3
14	10	Gold	Wein.	$1,375,240	-60.4%	2,166	-	$635	$6,146,705	-	2
15	13	Moana	BV	$1,337,481	-46.1%	847	-1,047	$1,579	$242,096,996	-	11
16	15	Manchester by the Sea	RAtt.	$1,326,341	-36.0%	974	-194	$1,362	$43,801,154	$9	12
17	20	Fences	Par.	$1,233,943	-14.5%	948	+68	$1,302	$52,659,963	$24	8
18	11	Patriots Day	LGF	$1,103,031	-60.2%	1,003	-844	$1,100	$30,214,005	$45	7
19	18	Moonlight (2016)	A24	$1,002,056	-32.7%	842	-262	$1,190	$19,407,307	$4	16
20	17	Sleepless	ORF	$889,310	-49.2%	672	-383	$1,323	$19,285,538	-	4
21	-	The Comedian	SPC	$878,164	-	848	-	$1,036	$892,021	-	3
22	23	Passengers (2016)	Sony	$860,715	-5.6%	1,104	+479	$780	$97,391,585	$110	7
23	19	Arrival	Par.	$796,136	-46.0%	685	-536	$1,162	$98,637,771	$47	13
24	N	I am Not Your Negro	Magn.	$686,378	-	43	-	$15,962	$686,378	-	1
25	16	Raees	Zee	$517,286	-71.2%	227	-38	$2,279	$3,262,954	-	2
26	N	Journey to the West: The Demons Strike Back	Sony	$463,883	-	67	-	$6,924	$463,883	-	1
27	22	Un Padre No Tan Padre	PNT	$445,814	-54.5%	312	-	$1,429	$1,648,323	-	2
28	24	20th Century Women	A24	$401,481	-55.8%	253	-397	$1,587	$4,708,009	-	6
29	25	Jackie	FoxS	$373,761	-43.9%	327	-181	$1,143	$12,875,997	-	10
30	30	Hacksaw Ridge	LGF	$242,217	-41.8%	317	-185	$764	$66,358,580	$40	14
31	47	The Salesman	Cohen	$237,698	+234.4%	48	+45	$4,952	$347,751	-	2
32	41	Doctor Strange	BV	$237,287	+118.4%	190	+86	$1,249	$231,910,330	$165	14
33	32	Trolls	Fox	$226,783	-22.9%	219	-12	$1,036	$153,029,983	$125	14
34	21	The Bye Bye Man	STX	$222,847	-80.2%	405	-722	$550	$22,267,263	$7.4	4
35	27	Silence (2016)	Par.	$181,602	-70.4%	152	-164	$1,195	$6,816,056	-	7
36	31	Why Him?	Fox	$178,812	-51.4%	244	-121	$733	$59,052,323	$38	7
37	36	Paterson	BST	$173,303	+1.5%	58	+7	$2,988	$1,041,403	-	6
38	33	Fantastic Beasts and Where To Find Them	WB	$170,171	-41.1%	167	-64	$1,019	$232,398,690	$180	12
39	28	Underworld: Blood Wars	SGem	$141,575	-69.9%	179	-254	$791	$30,070,110	$35	5
40	34	Assassin's Creed	Fox	$132,253	-35.1%	187	-23	$707	$54,336,517	$125	7
41	39	Julieta	SPC	$124,929	+3.0%	58	+10	$2,154	$1,026,892	-	7
42	26	Yu-Gi-Oh! The Dark Side of Dimensions	SV	$108,328	-83.5%	62	-319	$1,747	$971,979	-	2
43	43	Toni Erdmann	SPC	$95,588	-0.5%	24	+4	$3,983	$520,365	-	7
44	40	Kung Fu Yoga	WGUSA	$86,738	-22.5%	27	+13	$3,213	$256,745	$65	2
45	38	Elle	SPC	$81,989	-34.9%	104	-24	$788	$1,930,159	-	13
46	29	The Resurrection of Gavin Stone	BH Tilt	$71,763	-84.6%	118	-761	$608	$2,277,776	-	3
47	37	Collateral Beauty	WB (NL)	$70,107	-46.2%	144	-59	$487	$30,982,955	$36	8
48	46	The Red Turtle	SPC	$69,648	-4.2%	21	+6	$3,317	$229,540	-	3
49	50	Confidential Assignment	CJ	$64,739	+205.0%	8	+6	$8,092	$98,869	-	2
50	48	Neruda	Orch.	$57,528	-10.9%	46	+18	$1,251	$525,861	-	8
51	49	A Beautiful Planet	Imax	$52,964	-17.5%	26	-	$2,037	$8,839,174	-	41
52	45	The Eagle Huntress	SPC	$43,421	-40.5%	48	-43	$905	$2,939,501	-	14
53	44	Dangal	UTV	$37,229	-53.5%	16	-14	$2,327	$12,382,287	-	7
54	N	The Trouble with Terkel (2017)	Indic.	$32,784	-	12	-	$2,732	$32,784	-	1
55	N	Chapter & Verse	Pala.	$31,331	-	1	-	$31,331	$31,331	-	1
56	35	Buddies in India	CL	$26,502	-85.4%	25	-30	$1,060	$280,545	-	2
57	N	Mr. Gaga: A True Story of Love and Dance	Abr.	$25,354	-	2	-	$12,677	$34,632	-	1
58	N	Growing Up Smith	Good Deed	$14,867	-	5	-	$2,973	$14,867	-	1
59	42	Live By Night	WB	$11,738	-88.4%	35	-128	$335	$10,326,914	-	7
60	53	Things To Come	IFC	$10,527	-7.5%	19	+4	$554	$373,555	-	10
61	-	Tampopo (2016 re-release)	Jan.	$9,259	-	1	-	$9,259	$223,356	-	16
62	N	The Lure	Jan.	$7,370	-	1	-	$7,370	$10,676	-	1
63	54	Saving Banksy	PDF	$7,341	-29.8%	6	+2	$1,224	$38,329	-	4
64	51	Miss Peregrine's Home for Peculiar Children	Fox	$7,328	-57.9%	25	-25	$293	$87,240,689	$110	19
65	64	Worlds Apart	CLS	$5,904	+91.1%	1	-	$5,904	$53,094	-	4
66	55	The Handmaiden	Magn.	$5,808	-34.8%	7	-2	$830	$1,995,315	-	16
67	66	Ocean Waves	GK	$5,668	+191.0%	6	+1	$945	$76,884	-	6
