1	N	Guardians of the Galaxy Vol. 2	BV	$146,510,104	-	4,347	-	$33,704	$146,510,104	$200	1
2	1	The Fate of the Furious	Uni.	$8,577,175	-57.0%	3,595	-482	$2,386	$207,184,705	$250	4
3	4	The Boss Baby	Fox	$5,976,818	-36.2%	3,284	-455	$1,820	$156,537,343	-	6
4	2	How to be a Latin Lover	PNT	$5,144,904	-58.0%	1,203	+85	$4,277	$20,548,224	-	2
5	6	Beauty and the Beast (2017)	BV	$5,087,749	-25.5%	2,680	-475	$1,898	$487,739,364	$160	8
6	5	The Circle (2017)	STX	$3,959,045	-56.2%	3,163	-	$1,252	$15,654,158	$18	2
7	3	Baahubali 2: The Conclusion	GrtIndia	$3,402,524	-67.4%	419	-6	$8,121	$16,338,488	-	2
8	9	Gifted	FoxS	$2,024,001	-39.8%	1,874	-341	$1,080	$19,209,332	$7	5
9	8	Smurfs: The Lost Village	Sony	$1,838,424	-48.3%	1,902	-652	$967	$40,588,998	$60	5
10	7	Going in Style (2017)	WB (NL)	$1,835,383	-49.1%	2,033	-728	$903	$40,536,301	$25	5
11	11	Born in China	BV	$1,219,025	-48.9%	1,414	-94	$862	$10,942,936	-	3
12	12	The Lost City of Z	BST	$1,035,875	-42.7%	815	-51	$1,271	$6,632,068	-	4
13	14	Sleight	BH Tilt	$768,005	-54.9%	591	+26	$1,300	$3,001,200	$0.25	2
14	13	Get Out	Uni.	$711,155	-58.4%	818	-745	$869	$173,836,140	$4.5	11
15	10	Unforgettable (2017)	WB	$670,067	-72.2%	1,003	-1,414	$668	$10,630,178	$12	3
16	N	The Dinner	Orch.	$653,944	-	505	-	$1,295	$653,944	-	1
17	17	The Zookeeper's Wife	Focus	$528,500	-46.7%	655	-342	$807	$15,796,661	-	6
18	16	Kong: Skull Island	WB	$507,959	-54.7%	653	-280	$778	$166,300,039	$185	9
19	28	Norman: The Moderate Rise and Tragic Fall of a New York Fixer	SPC	$447,438	+96.2%	125	+78	$3,580	$1,061,025	-	4
20	23	Their Finest	STX	$411,190	-19.6%	323	-7	$1,273	$2,444,317	-	5
21	18	The Case for Christ	PFR	$388,432	-60.7%	585	-465	$664	$13,872,143	-	5
22	N	Canelo vs. Chavez Jr.	Fathom	$343,387	-	273	-	$1,258	$343,387	-	1
23	20	Logan	Fox	$327,887	-57.5%	444	-170	$738	$225,078,088	$97	10
24	15	The Promise (2017)	ORF	$278,205	-80.7%	331	-1,920	$840	$7,967,276	$90	3
25	19	Power Rangers (2017)	LGF	$227,436	-73.4%	512	-377	$444	$84,654,539	$100	7
26	22	Colossal	Neon	$200,060	-61.7%	250	-76	$800	$2,500,487	-	5
27	26	The LEGO Batman Movie	WB	$185,114	-38.5%	235	-38	$788	$174,932,902	$80	13
28	34	A Quiet Passion	MBox	$160,346	+58.4%	84	+40	$1,909	$492,280	-	4
29	N	This Is Not What I Expected	WGUSA	$135,252	-	36	-	$3,757	$135,252	-	1
30	21	Phoenix Forgotten	CLF	$132,017	-82.2%	186	-1,272	$710	$3,453,393	$2.8	3
31	24	Ghost in the Shell (2017)	Par.	$115,571	-73.5%	211	-245	$548	$40,252,290	$110	6
32	29	Battle of Memories	CL	$97,576	-56.6%	40	-2	$2,439	$434,278	-	2
33	30	Your Name.	FUN	$90,140	-56.4%	74	-49	$1,218	$4,677,086	-	5
34	31	The Shack	LG/S	$80,654	-55.0%	178	-107	$453	$57,161,785	-	10
35	N	Risk	Neon	$76,327	-	34	-	$2,245	$76,327	-	1
36	N	The Lovers	A24	$66,286	-	4	-	$16,572	$66,286	-	1
37	25	Life (2017)	Sony	$63,548	-79.2%	132	-371	$481	$30,001,060	$58	7
38	32	CHiPs	WB	$63,396	-48.0%	146	-58	$434	$18,463,483	$25	7
39	35	Hidden Figures	Fox	$58,584	-31.7%	113	-11	$518	$169,085,266	$25	20
40	36	A Dog's Purpose	Uni.	$54,745	-26.2%	103	-20	$532	$64,304,940	$22	15
41	50	Citizen Jane	IFC	$39,454	+39.2%	20	+14	$1,973	$131,311	-	3
42	37	A Beautiful Planet	Imax	$37,228	-23.2%	19	-3	$1,959	$10,297,588	-	54
43	N	Chuck	IFC	$34,565	-	4	-	$8,641	$34,565	-	1
44	43	Jeremiah Tower	Orch.	$28,276	-21.1%	29	+13	$975	$111,304	-	3
45	47	Chasing Trane: The John Coltrane Documentary	Abr.	$27,322	-18.0%	17	+1	$1,607	$150,369	-	4
46	40	The Belko Experiment	BH Tilt	$26,250	-40.5%	69	-14	$380	$9,742,140	$5	8
47	42	T2: Trainspotting	TriS	$22,886	-37.2%	45	-22	$509	$2,335,346	$18	8
48	45	Kedi	Osci.	$22,122	-37.5%	30	-12	$737	$2,565,602	-	13
49	N	Stalker (2017 re-release)	Jan.	$20,540	-	1	-	$20,540	$20,540	-	1
50	61	The King's Case Note	CJ	$19,328	+128.4%	6	+4	$3,221	$31,487	-	2
51	41	Tommy's Honour	RAtt.	$18,813	-53.8%	35	-25	$538	$533,343	-	4
52	N	3 Generations	Wein.	$18,131	-	6	-	$3,022	$18,131	-	1
53	46	Graduation	IFC	$15,703	-54.1%	26	-10	$604	$140,976	-	5
54	55	Obit.	KL	$15,411	-4.8%	3	+1	$5,137	$56,398	-	18
55	64	Buster's Mal Heart	WGUSA	$15,349	+115.1%	10	+9	$1,535	$24,655	-	2
56	56	David Lynch: The Art Life	Jan.	$15,040	+3.6%	8	+3	$1,880	$118,296	-	6
57	51	Truman	FR	$13,474	-40.6%	14	-8	$962	$163,568	-	5
58	52	I am Not Your Negro	Magn.	$12,321	-40.6%	10	-8	$1,232	$7,081,730	-	14
59	N	A Woman's Life	KL	$11,483	-	2	-	$5,742	$11,483	-	1
60	44	Frantz	MBox	$11,065	-69.1%	23	-22	$481	$836,624	-	8
61	53	Cezanne et moi	Magn.	$10,552	-45.6%	14	-7	$754	$214,760	-	6
62	39	The Mayor	WGUSA	$10,401	-77.9%	7	-22	$1,486	$83,849	-	2
