1	1	Wonder Woman	WB	$58,520,672	-43.3%	4,165	-	$14,051	$206,343,175	$149	2
2	N	The Mummy (2017)	Uni.	$31,688,375	-	4,035	-	$7,853	$31,668,375	$125	1
3	2	Captain Underpants: The First Epic Movie	Fox	$12,180,704	-48.9%	3,529	+95	$3,452	$44,443,216	$38	2
4	3	Pirates of the Caribbean: Dead Men Tell No Tales	BV	$10,704,103	-51.5%	3,679	-597	$2,910	$135,830,397	$230	3
5	4	Guardians of the Galaxy Vol. 2	BV	$6,312,367	-35.8%	2,911	-596	$2,168	$366,431,539	$200	6
6	N	It Comes At Night	A24	$5,988,370	-	2,533	-	$2,364	$5,988,370	-	1
7	5	Baywatch	Par.	$4,648,207	-47.1%	2,832	-815	$1,641	$51,113,342	$69	3
8	N	Megan Leavey	BST	$3,810,867	-	1,956	-	$1,948	$3,810,867	-	1
9	6	Alien: Covenant	Fox	$1,826,579	-55.7%	1,814	-846	$1,007	$71,238,791	$97	4
10	7	Everything, Everything	WB	$1,627,295	-50.7%	1,546	-829	$1,053	$31,739,247	$10	4
11	N	My Cousin Rachel	FoxS	$969,941	-	523	-	$1,855	$969,941	-	1
12	9	Diary of a Wimpy Kid: The Long Haul	Fox	$656,843	-49.1%	897	-1,191	$732	$19,379,101	$22	4
13	12	The Boss Baby	Fox	$512,445	-17.5%	432	-252	$1,186	$171,823,971	-	11
14	8	Snatched	Fox	$491,644	-62.7%	651	-974	$755	$45,017,475	$42	5
15	10	King Arthur: Legend of the Sword	WB	$455,744	-61.2%	1,222	-	$373	$38,216,307	$175	5
16	15	The Fate of the Furious	Uni.	$442,770	-9.5%	389	-204	$1,138	$224,507,635	$250	9
17	14	Paris Can Wait	SPC	$436,424	-17.6%	176	+25	$2,480	$2,271,700	-	5
18	11	Beauty and the Beast (2017)	BV	$377,898	-42.6%	316	-211	$1,196	$502,868,344	$160	13
19	13	3 Idiotas	PNT	$240,930	-60.5%	349	-	$690	$1,051,560	-	2
20	16	Churchill	Cohen	$201,624	-50.7%	187	-28	$1,078	$798,779	-	2
21	19	Going in Style (2017)	WB (NL)	$194,401	-15.5%	303	-	$642	$44,563,631	$25	10
22	20	Smurfs: The Lost Village	Sony	$158,476	-29.5%	213	-59	$744	$44,336,614	$60	10
23	21	Kong: Skull Island	WB	$150,155	-29.1%	208	-	$722	$167,986,460	$185	14
24	N	Beatriz At Dinner	RAtt.	$141,959	-	5	-	$28,392	$141,959	-	1
25	24	Lowriders	BH Tilt	$137,635	-31.7%	107	-72	$1,286	$6,000,055	-	5
26	17	How to be a Latin Lover	PNT	$124,148	-55.3%	125	-152	$993	$31,931,641	-	7
27	25	Gifted	FoxS	$110,561	-37.7%	162	-63	$682	$24,282,913	$7	10
28	22	The Wedding Plan	RAtt.	$109,159	-47.7%	105	-18	$1,040	$1,183,048	-	5
29	23	Norman: The Moderate Rise and Tragic Fall of a New York Fixer	SPC	$102,896	-49.3%	160	-72	$643	$3,649,561	-	9
30	18	The Lovers	A24	$62,429	-74.5%	127	-221	$492	$2,102,008	-	6
31	28	The Zookeeper's Wife	Focus	$62,170	-18.1%	92	-23	$676	$17,407,536	-	11
32	27	A Quiet Passion	MBox	$52,644	-47.8%	76	-22	$693	$1,732,542	-	9
33	46	The Women's Balcony	Men.	$49,172	+150.2%	15	+12	$3,278	$392,283	-	15
34	N	The Hero	Orch.	$45,317	-	4	-	$11,329	$45,317	-	1
35	48	I, Daniel Blake	IFC	$42,204	+125.9%	41	+29	$1,029	$120,626	-	2
36	38	A Beautiful Planet	Imax	$41,977	+15.9%	17	-	$2,469	$10,803,393	-	59
37	32	Dean	CBS	$41,726	-30.9%	32	+17	$1,304	$122,849	-	2
38	34	Their Finest	STX	$30,130	-41.8%	73	-	$413	$3,563,446	-	10
39	41	Band Aid	IFC	$28,106	-3.1%	12	+9	$2,342	$67,433	-	2
40	35	The Lost City of Z	BST	$27,470	-46.8%	121	-	$227	$8,431,075	-	9
41	36	Love, Kennedy	Purd.	$27,281	-39.8%	19	-	$1,436	$116,460	-	2
42	50	Past Life	Orion	$24,438	+63.4%	21	+17	$1,164	$46,697	-	2
43	26	Logan	Fox	$21,546	-87.9%	92	-	$234	$226,231,072	$97	15
44	39	The Case for Christ	PFR	$19,793	-43.3%	51	-22	$388	$14,647,205	-	10
45	37	Wakefield	IFC	$19,782	-52.8%	30	-	$659	$193,748	-	4
46	31	Born in China	BV	$19,551	-73.4%	32	-83	$611	$13,755,923	-	8
